task_name,try_times,action_lib_num,condition_lib_num,expanded_num,act_num,success_or_not,record_feedback_times_avg
task1,1,4.0,9.0,11.0,4.0,True,
task1,2,4.0,5.0,5.0,4.0,True,
task1,3,4.0,5.0,7.0,4.0,True,
task1,4,4.0,9.0,5.0,4.0,True,
task1,5,4.0,5.0,11.0,4.0,True,
task1,6,4.0,10.0,7.0,4.0,True,
task1,7,4.0,10.0,7.0,4.0,True,
task1,8,4.0,10.0,7.0,4.0,True,
task1,9,4.0,5.0,7.0,4.0,True,
task1,10,4.0,5.0,7.0,4.0,True,
task1,-1,4.0,7.3,7.4,4.0,True,1.0
