task_name,try_times,action_lib_num,condition_lib_num,expanded_num,act_num,success_or_not,record_feedback_times_avg
task3,1,6.0,7.0,15.0,5.0,True,
task3,2,4.0,5.0,5.0,4.0,True,
task3,3,6.0,10.0,15.0,5.0,True,
task3,4,4.0,5.0,5.0,4.0,True,
task3,5,6.0,9.0,15.0,5.0,True,
task3,6,6.0,10.0,15.0,5.0,True,
task3,7,6.0,12.0,15.0,5.0,True,
task3,8,6.0,7.0,15.0,5.0,True,
task3,9,4.0,11.0,5.0,4.0,True,
task3,10,6.0,10.0,15.0,5.0,True,
task3,-1,5.4,8.6,12.0,4.7,True,1.0
